,Status,Progress,Duration (in seconds),Gender,Q20_Page Submit,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Belief questions_1,Belief questions_2,Belief questions_3,Belief questions_4,Belief questions_5,Belief questions_6,Belief questions_7,Belief questions_8,past_life_experience,out_of_body_experience,spirit_world_experience,past_life_belief,out_of_body_belief,spirit_world_belief,comb exp,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
596,0,100,171,Woman,79.378,0,0,0,2,1,0,0,0,0,0,0,-1,-2,1,-2,-1,0,-2,-1,0,1,0,-1.5,-0.5,-1,0.333333333,710,18,Woman,2.25,4,4,2,3.5,4,3,0,0,2,0,5,0,3,4
609,0,100,164,Woman,92.064,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,591,18,Woman,2.287,4,4,1,2,4,2,0,0,2,3.87,3,5,1,3
610,0,100,261,Woman,134.173,0,0,0,2,2,2,2,0,0,0,0,1,1,0,0,1,2,1,1,0,2,0.4,1,0,1.25,0.8,292,18,Woman,2.3,5,4,3,1,5,4,0,0,1,0,5,0,1,1
629,0,100,91,Woman,39.746,2,1,1,3,0,2,0,0,0,1,1,1,0,-1,-1,1,-1,1,0,1.333333333,1.666666667,0.4,0.5,-1,0.25,1.133333333,199,20,Woman,2.25,5,4,0,3.5,5,3,0,0,2,0,0,0,4,3
650,0,100,87,Woman,36.268,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,0,0,0,1,1,0.5,0,781,26,Woman,2.25,3,4,2,4.5,3,3,0,0,3,0,0,5,4,5
657,0,100,180,Woman,92.37,2,1,3,4,3,3,1,0,0,0,2,1,2,0,1,1,2,1,1,2,3.333333333,0.6,1.5,0.5,1.25,1.977777778,258,19,Woman,2.25,4,4,0,1.5,4,4,0,0,3,2,4,1,2,1
668,0,100,183,Woman,96.184,0,0,0,2,3,0,4,2,2,0,0,0,0,0,0,-1,0,0,0,0,1.666666667,1.6,0,0,-0.25,1.088888889,593,26,Woman,2.3,5,4,4,0,4,5,0,0,1,0,0,1,0,0
3,0,100,115,Woman,43.116,2,1,3,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-1,-1,-2,2,0,0,0,-0.5,-1.5,0.666666667,791,18,Woman,2.2,4,3,1,2,4,3,1,0,4,0,0,1,2,2
4,0,100,94,Man,56.744,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,882,20,Man,2.15,4,2,2,4.5,5,4,0,0,0,0,0,5,4,5
17,0,100,138,Woman,58.508,2,2,3,4,3,3,2,2,2,2,3,1,1,1,0,0,1,0,0,2.333333333,3.333333333,2.2,1,0.5,0.25,2.622222222,555,18,Woman,2.2,4,4,1,2,4,4,0,0,3,0,0,4,2,2
34,0,100,146,Woman,72.547,3,0,0,4,0,0,5,1,0,0,5,0,0,1,1,0,0,2,2,1,1.333333333,2.2,0,1,1,1.511111111,668,26,Woman,2.15,5,5,0,1.5,4,3,0,0,3,0,0,0,3,0
51,0,100,59,Woman,19.383,2,3,2,3,2,3,3,2,2,3,2,1,-1,0,1,0,0,-1,1,2.333333333,2.666666667,2.4,0,0.5,0,2.466666667,654,18,Woman,2.2,4,3,2,2,4,3,2,0,2,0,0,4,2,2
77,0,100,224,Woman,58.499,2,1,2,2,1,3,2,1,2,1,2,-1,1,0,-1,0,1,1,0,1.666666667,2,1.6,0,-0.5,0.5,1.755555556,608,19,Woman,2.15,4,3,2,2.5,5,2,0,1,2,0,0,3,3,2
98,0,100,204,Woman,83.365,0,0,1,1,0,0,1,1,0,0,0,1,2,0,1,0,0,1,1,0.333333333,0.333333333,0.4,1.5,0.5,0.5,0.355555555,859,18,Woman,2.15,4,2,3,2.5,4,2,0,0,2,2,1,4,3,2
113,0,100,317,Man,166.287,0,0,0,3,2,2,0,0,0,0,2,-1,1,-1,1,0,0,-2,-2,0,2.333333333,0.4,0,0,-1,0.911111111,885,18,Man,2.241,4,4,1,2,4,3,0,0,3,1.41,2,1,3,1
116,0,100,127,Woman,64.671,0,3,0,4,0,2,2,0,0,0,1,1,1,0,-1,-1,0,2,2,1,2,0.6,1,-0.5,0.75,1.2,538,18,Woman,2.224,4,3,2,1,5,5,0,0,0,2.24,5,1,1,1
149,0,100,78,Another,41.12,0,0,0,2,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0.666666667,0,-2,-2,-2,0.222222222,706,28,Non-binary,2.2,3,3,2,3,4,2,0,2,3,0,5,0,3,3
158,0,100,159,Woman,81.155,0,3,1,3,4,1,3,3,0,0,3,1,1,2,2,2,2,2,2,1.333333333,2.666666667,1.8,1,2,2,1.933333333,667,18,Non-binary,2.2,4,4,3,1,4,5,0,0,1,0,0,4,0,2
206,0,100,280,Man,117.421,0,2,1,0,0,0,3,3,3,0,5,-1,1,-1,1,-1,1,2,-2,1,0,2.8,0,0,0,1.266666667,313,19,Man,2.2,5,3,1,4,5,4,0,0,0,0,0,2,3,5
209,0,100,236,Woman,152.974,2,0,0,1,0,0,2,1,2,0,0,-1,-1,1,-1,-1,-1,0,1,0.666666667,0.333333333,1,-1,0,-0.25,0.666666667,696,19,Woman,2.2,4,3,2,4,4,4,0,0,1,0,1,0,4,4
211,0,100,433,Woman,173.399,1,1,3,2,0,0,2,0,0,1,0,1,0,-1,-2,0,0,-1,-1,1.666666667,0.666666667,0.6,0.5,-1.5,-0.5,0.977777778,403,18,Woman,2.15,3,1,4,2.5,0,2,4,5,0,0,0,4,3,2
221,0,100,124,Woman,59.733,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0.333333333,0,1,1,0.75,0.111111111,716,18,Woman,2.2,4,3,5,0,3,5,0,0,2,0,5,0,0,0
224,0,100,685,Woman,435.566,0,1,2,3,0,3,1,0,0,0,2,1,1,2,0,1,2,1,1,1,2,0.6,1,1,1.25,1.2,504,18,Woman,2.15,5,4,1,0.5,4,2,0,0,3,2,4,1,1,0
259,0,100,138,Woman,62.002,0,0,1,2,2,0,1,0,0,0,1,-1,-2,-1,-2,-1,-1,-1,-1,0.333333333,1.333333333,0.4,-1.5,-1.5,-1,0.688888889,109,18,Woman,2.223205081,4,4,1,2.5,5,2,0,0,2,1.732050808,3,1,3,2
273,0,100,362,Woman,198.327,2,0,1,2,3,1,4,0,0,0,0,0,1,0,-1,-2,-1,0,-1,1,2,0.8,0.5,-0.5,-1,1.266666667,234,19,Woman,2.15,5,4,3,2.5,4,2,0,0,1,0,0,5,2,3
315,0,100,252,Woman,127.94,0,1,4,2,0,0,2,0,0,0,1,2,1,1,0,2,1,2,1,1.666666667,0.666666667,0.6,1.5,0.5,1.5,0.977777778,834,18,Woman,2.15,5,4,0,2.5,4,4,0,0,2,0,0,0,1,4
325,0,100,225,Woman,85.385,1,1,5,0,0,0,3,2,1,4,2,1,0,2,0,1,1,2,2,2.333333333,0,2.4,0.5,1,1.5,1.577777778,432,18,Woman,2.15,3,4,2,4.5,3,3,0,0,2,0,5,0,5,4
358,0,100,182,Woman,104.735,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,0,-2,-2,-2,0,519,18,Woman,2.15,5,2,1,1.5,4,3,0,5,0,0,4,0,2,1
415,0,100,431,Woman,173.064,0,0,0,1,0,0,2,2,0,3,1,-1,2,1,-1,0,-1,0,0,0,0.333333333,1.6,0.5,0,-0.25,0.644444444,144,19,Woman,2.15,3,4,3,2.5,4,3,0,0,2,0,0,4,2,3
425,0,100,406,Woman,215.64,0,0,0,1,1,0,3,0,1,0,0,-1,-1,0,-2,1,0,1,1,0,0.666666667,0.8,-1,-1,0.75,0.488888889,798,18,Woman,2.2,5,4,3,2,4,2,0,0,2,0,5,0,2,2
479,0,100,151,Woman,92.145,4,4,3,4,3,3,4,5,4,4,4,2,1,0,1,2,1,2,2,3.666666667,3.333333333,4.2,1.5,0.5,1.75,3.733333333,52,18,Woman,2.2,5,4,1,1,5,4,0,0,2,0,5,0,0,2
521,0,100,161,Woman,79.192,0,1,0,2,0,0,0,0,1,1,0,-1,-1,-1,0,-1,-1,0,1,0.333333333,0.666666667,0.4,-1,-0.5,-0.25,0.466666667,142,19,Woman,2.2,4,3,0,2,2,4,0,0,4,3,3,3,1,3
563,0,100,189,Woman,105.655,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,0,0.333333333,0,1.5,1,0.75,0.111111111,396,18,Woman,2.191421356,3,5,1,3.5,3,1,0,1,3,1.414213562,2,1,3,4
584,0,100,247,Woman,120.389,0,0,2,3,0,0,3,0,0,0,4,0,1,0,0,1,0,2,0,0.666666667,1,1.4,0.5,0,0.75,1.022222222,262,20,Woman,2.15,4,2,0,2.5,3,5,5,0,0,0,5,0,3,2
587,0,100,264,Woman,167.907,1,1,0,3,2,0,1,0,2,0,1,-1,-1,-1,-1,1,0,1,-1,0.666666667,1.666666667,0.8,-1,-1,0.25,1.044444445,572,19,Woman,2.15,2,3,2,3.5,3,2,0,0,3,3,3,3,3,4
590,0,100,619,Woman,442.096,4,4,3,5,2,4,3,1,1,0,0,1,1,-1,-1,-1,0,-1,-1,3.666666667,3.666666667,1,1,-1,-0.75,2.777777778,333,18,Woman,2.2,5,5,1,2,4,5,0,0,0,0,5,0,2,2
601,0,100,106,Woman,55.484,1,1,0,2,1,1,1,0,0,0,1,-1,-1,0,1,1,1,1,1,0.666666667,1.333333333,0.4,-1,0.5,1,0.8,893,18,Woman,2.15,4,3,5,2.5,4,2,0,0,1,0,3,0,2,3
605,0,100,265,Woman,47.77,0,0,0,2,2,1,1,0,2,1,0,0,-1,0,-1,-1,-2,-1,-1,0,1.666666667,0.8,-0.5,-0.5,-1.25,0.822222222,814,18,Woman,2.15,4,3,1,1.5,5,3,1,0,1,2,2,2,2,1
632,0,100,484,Another,202.132,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.2,0.5,0.5,0.25,0.066666667,241,19,Non-binary,2.15,5,2,1,1.5,5,4,0,0,3,0,5,0,2,1
636,0,100,100,Woman,47.925,0,0,0,2,1,0,3,0,1,0,1,-1,-1,0,0,1,2,1,0,0,1,1,-1,0,1,0.666666667,672,21,Woman,2.187,2,3,4,2,2,3,0,0,2,3.87,3,5,1,3
669,0,100,221,Woman,99.261,1,1,5,3,3,0,5,3,3,2,5,1,0,1,2,2,1,2,2,2.333333333,2,3.6,0.5,1.5,1.75,2.644444444,274,18,Woman,2.15,4,4,1,1.5,3,3,0,0,3,2,2,2,2,1
112,0,100,177,Woman,91.501,0,1,1,4,1,0,0,0,0,0,1,-1,0,-2,-2,-1,-1,0,0,0.666666667,1.666666667,0.2,-0.5,-2,-0.5,0.844444445,831,19,Woman,2.091,5,4,1,0.5,4,3,0,0,2,1.41,1,2,0,1
132,0,100,103,Woman,51.904,2,1,4,5,3,2,4,2,2,1,2,1,1,1,1,1,1,1,1,2.333333333,3.333333333,2.2,1,1,1,2.622222222,658,19,Woman,2.05,3,2,3,3.5,4,3,0,0,2,0,0,3,4,3
148,0,100,160,Woman,76.704,0,0,0,0,0,0,2,0,1,0,0,0,1,1,-1,1,2,1,1,0,0,0.6,0.5,0,1.25,0.2,693,19,Woman,2.1,3,4,1,0,5,3,0,0,3,2,4,1,0,0
150,0,100,199,Woman,107.105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,18,Woman,2.1,5,5,0,0,4,4,0,0,1,2,4,1,0,0
182,0,100,342,Woman,88.314,0,0,1,2,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0.333333333,0.666666667,0,0.5,1,1,0.333333333,136,18,Woman,2.05,4,3,1,2.5,4,4,0,0,2,0,5,0,2,3
185,0,100,160,Man,46.197,0,0,0,5,2,5,0,0,0,0,0,-2,-2,-2,-2,-2,-2,1,-2,0,4,0,-2,-2,-1.25,1.333333333,208,19,Man,2.1,5,4,0,0,4,3,2,0,3,0,0,0,0,0
196,0,100,176,Woman,94.813,0,0,0,3,0,0,0,0,0,0,0,1,0,0,-1,1,1,1,1,0,1,0,0.5,-0.5,1,0.333333333,455,19,Woman,2.1,4,3,2,4,5,2,0,0,1,0,0,3,4,4
227,0,100,174,Woman,110.802,0,0,0,3,1,0,3,3,4,2,3,1,1,0,0,1,1,1,1,0,1.333333333,3,1,0,1,1.444444444,627,19,Woman,2.145,5,3,0,0,5,3,0,0,3,2.45,3,2,0,0
239,0,100,227,Woman,132.409,0,0,1,5,5,5,4,0,0,0,3,-1,-1,2,2,-1,-2,1,-1,0.333333333,5,1.4,-1,2,-0.75,2.244444444,96,18,Woman,2.073606798,5,3,3,1.5,4,2,0,0,0,2.236067977,5,1,0,3
242,0,100,191,Man,98.245,1,0,0,0,0,0,1,0,0,0,2,-1,-1,-2,-2,0,0,1,-1,0.333333333,0,0.6,-1,-2,0,0.311111111,436,18,Man,2.082842713,4,4,1,0,2,4,0,0,3,2.828427125,4,2,0,0
253,0,100,570,Woman,183.297,0,1,0,3,2,1,0,0,0,0,0,-1,-1,-1,-2,-2,-1,-2,-1,0.333333333,2,0,-1,-1.5,-1.5,0.777777778,616,18,Woman,2.05,5,4,2,0.5,3,2,1,0,3,0,3,0,1,0
257,0,100,186,Woman,51.53,0,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,2,1,1,0.333333333,0,0,1,-1,0.75,0.111111111,59,18,Woman,2.1,3,4,2,2,5,4,0,0,1,0,5,0,1,3
292,0,100,168,Woman,97.301,2,1,2,3,0,1,4,0,0,2,3,2,-1,1,-1,-1,1,2,2,1.666666667,1.333333333,1.8,0.5,0,1,1.6,56,21,Woman,2.1,5,5,4,0,3,3,0,0,1,0,3,0,0,0
312,0,100,339,Woman,192.56,0,0,0,0,2,0,5,4,2,0,0,-1,-1,0,-2,2,0,1,2,0,0.666666667,2.2,-1,-1,1.25,0.955555556,536,18,Woman,2.141,5,4,2,1,3,4,0,0,1,1.41,2,1,0,2
319,0,100,111,Woman,61.723,0,0,0,2,1,0,0,0,0,0,0,-2,-2,-1,-2,1,-2,-2,-2,0,1,0,-2,-1.5,-1.25,0.333333333,79,19,Woman,2.1,5,4,4,1,1,3,0,1,2,0,0,0,0,2
395,0,100,125,Woman,59.401,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,-2,1,1,0,0,0.333333333,0,0,1,0,0.111111111,715,19,Woman,2.05,5,3,1,2.5,4,3,0,0,2,0,0,5,3,2
424,0,100,300,Man,152.866,2,3,0,0,0,0,3,3,0,3,2,-2,0,-2,-2,0,-1,1,0,1.666666667,0,2.2,-1,-2,0,1.288888889,880,18,Man,2.1,3,4,2,1,4,4,1,0,2,0,0,3,1,1
484,0,100,209,Woman,91.304,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.2,0.5,0.5,0.5,0.066666667,97,18,Woman,2.1,4,3,1,2,5,3,2,0,1,0,5,0,3,1
490,0,100,121,Woman,46.43,0,0,0,0,0,0,0,0,0,0,0,-2,-1,-2,-2,-1,0,0,0,0,0,0,-1.5,-2,-0.25,0,15,18,Woman,2.05,4,3,2,3.5,5,3,0,0,0,0,0,5,3,4
525,0,100,113,Woman,54.228,1,1,3,2,3,2,3,4,3,2,2,0,1,1,2,1,1,0,0,1.666666667,2.333333333,2.8,0.5,1.5,0.5,2.266666667,378,19,Non-binary,2.1,4,5,1,0,4,3,0,0,4,0,5,0,0,0
531,0,100,181,Woman,90.239,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,0,1,0.333333333,0,0,1,0,0.75,0.111111111,283,18,Woman,2.1,4,4,3,2,4,3,1,0,0,0,5,0,1,3
533,0,100,376,Another,221.451,2,2,1,3,3,3,4,5,5,4,4,1,1,1,1,1,0,1,1,1.666666667,3,4.4,1,1,0.75,3.022222222,98,20,Non-binary,2.05,4,5,3,2.5,3,3,0,0,0,0,5,0,1,4
539,0,100,161,Woman,100.325,3,3,3,4,5,4,5,3,3,5,2,1,2,2,1,2,1,2,2,3,4.333333333,3.6,1.5,1.5,1.75,3.644444444,759,18,Woman,2.05,5,4,0,0.5,5,2,3,0,1,0,5,0,1,0
557,0,100,149,Another,96.78,0,0,0,4,5,5,5,1,0,1,0,0,0,1,2,2,2,0,1,0,4.666666667,1.4,0,1.5,1.25,2.022222222,736,19,Non-binary,2.1,3,5,0,3,4,1,0,2,3,0,0,1,4,2
574,0,100,110,Woman,56.099,4,5,4,5,4,3,2,0,2,0,2,2,2,2,0,2,1,2,2,4.333333333,4,1.2,2,1,1.75,3.177777778,125,19,Woman,2.05,5,4,1,1.5,3,2,0,0,4,0,5,0,3,0
593,0,100,210,Man,157.314,1,0,1,5,5,5,5,4,1,4,5,1,2,2,2,2,2,2,1,0.666666667,5,3.8,1.5,2,1.75,3.155555556,346,31,Man,2.091421356,2,4,1,3.5,3,3,0,3,0,1.414213562,2,1,4,3
611,0,100,188,Woman,123.553,3,2,2,4,0,0,5,3,3,0,5,0,1,1,0,2,1,2,2,2.333333333,1.333333333,3.2,0.5,0.5,1.75,2.288888889,388,18,Woman,2.096410162,3,5,2,2.5,5,0,0,0,0,3.464101615,3,4,3,2
614,0,100,328,Woman,199.871,0,0,0,3,0,2,4,3,2,0,4,1,2,2,1,2,2,2,2,0,1.666666667,2.6,1.5,1.5,2,1.422222222,30,18,Woman,2.123205081,5,5,0,2.5,4,2,0,0,1,1.732050808,3,1,3,2
616,0,100,215,Another,104.402,0,0,0,4,1,1,1,1,0,0,0,-2,-2,-2,-2,2,-2,0,1,0,2,0.4,-2,-2,0.25,0.8,194,19,Non-binary,2.05,3,4,1,3.5,5,3,0,0,1,0,0,5,3,4
649,0,100,338,Woman,148.139,1,1,0,2,2,0,2,0,0,0,1,1,0,-1,1,2,-1,1,2,0.666666667,1.333333333,0.6,0.5,0,1,0.866666667,261,18,Woman,2.1,3,2,4,4,1,0,3,3,1,0,0,0,3,5
1,0,100,90,Woman,23.788,0,0,0,0,0,0,0,0,0,0,0,-1,-2,0,0,-2,0,-1,-2,0,0,0,-1.5,0,-1.25,0,857,18,Woman,2,4,4,2,3,2,2,0,0,3,0,5,0,3,3
56,0,100,102,Woman,53.382,0,0,0,3,3,4,4,3,0,0,0,2,2,2,2,2,2,2,2,0,3.333333333,1.4,2,2,2,1.577777778,862,18,Woman,2,3,3,0,5,4,2,0,0,3,0,0,5,5,5
74,0,100,187,Woman,101.4,2,1,2,1,1,0,1,0,0,0,2,0,0,1,1,1,1,2,2,1.666666667,0.666666667,0.6,0,1,1.5,0.977777778,511,18,Woman,1.95,4,5,3,2.5,4,1,0,0,0,0,5,0,2,3
105,0,100,151,Woman,79.424,0,0,0,2,2,0,0,1,2,0,4,-1,0,0,-1,0,1,1,-1,0,1.333333333,1.4,-0.5,-0.5,0.25,0.911111111,647,19,Woman,2,1,3,1,4,3,4,2,0,0,2,2,2,4,4
208,0,100,137,Woman,71.001,0,0,0,2,0,0,0,0,0,0,0,1,0,-1,1,-2,-1,-1,0,0,0.666666667,0,0.5,0,-1,0.222222222,4,18,Woman,2,3,3,0,1,3,5,0,5,0,0,0,5,0,2
272,0,100,131,Woman,69.246,3,1,3,5,3,0,5,0,0,0,1,1,2,1,2,2,2,2,2,2.333333333,2.666666667,1.2,1.5,1.5,2,2.066666667,478,19,Woman,1.95,2,5,0,2.5,5,3,0,0,2,0,0,2,1,4
352,0,100,111,Woman,61.987,1,4,0,0,0,0,0,0,0,1,0,0,0,-1,-1,1,-1,-1,-1,1.666666667,0,0.2,0,-1,-0.5,0.622222222,509,19,Woman,1.95,4,3,0,2.5,3,4,0,0,3,0,0,5,2,3
353,0,100,205,Woman,96.233,0,0,2,2,1,0,0,0,0,0,0,-1,0,-2,-2,0,1,0,0,0.666666667,1,0,-0.5,-2,0.25,0.555555556,102,19,Woman,2,5,4,0,2,4,2,0,0,3,0,0,5,2,2
362,0,100,189,Woman,116.009,0,0,3,5,3,0,4,0,0,1,0,1,2,-1,-2,1,0,1,1,1,2.666666667,1,1.5,-1.5,0.75,1.555555556,239,18,Woman,1.95,5,3,0,1.5,4,0,0,0,4,2,4,1,1,2
397,0,100,171,Woman,90.027,1,2,0,1,0,0,0,0,0,0,1,-1,-1,-2,-1,-2,-2,0,-2,1,0.333333333,0.2,-1,-1.5,-1.5,0.511111111,374,18,Woman,1.95,5,3,0,1.5,4,3,0,0,3,0,0,3,0,3
400,0,100,145,Man,58.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815,20,Man,2,5,5,0,1,5,0,0,0,2,2,2,2,0,2
404,0,100,310,Man,141.5,0,0,0,3,0,0,0,0,0,0,3,-1,-1,-1,-1,0,0,1,0,0,1,0.6,-1,-1,0.25,0.533333333,560,20,Man,2,4,4,1,3,4,2,0,0,2,0,2,0,1,5
408,0,100,649,Man,81.201,1,1,1,5,5,2,5,5,0,5,5,1,2,2,1,2,2,2,2,1,4,4,1.5,1.5,2,3,402,18,Man,1.95,3,3,3,1.5,2,3,1,0,1,2,1,4,2,1
421,0,100,55,Woman,27.291,4,3,3,4,1,2,2,1,0,0,2,0,1,-1,2,0,-1,1,1,3.333333333,2.333333333,1,0.5,0.5,0.25,2.222222222,281,18,Woman,2.032842713,5,4,0,0.5,5,1,0,0,2,2.828427125,2,4,0,1
445,0,100,95,Woman,42.301,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-1,-2,-1,-1,-1,-1,0,0,0,-2,-1.5,-1,0,790,18,Woman,2,5,5,0,1,4,4,0,0,1,0,0,3,1,1
446,0,100,138,Woman,75.074,0,0,1,0,0,0,0,0,1,0,0,0,-2,-2,-1,-2,1,0,-1,0.333333333,0,0.2,-1,-1.5,-0.5,0.177777778,691,20,Woman,1.95,4,4,0,2.5,4,2,0,0,3,0,0,5,3,2
467,0,100,244,Another,142.542,0,1,0,4,4,2,4,2,2,2,2,0,-1,1,-1,1,2,1,0,0.333333333,3.333333333,2.4,-0.5,0,1,2.022222222,823,18,Non-binary,2,4,3,2,3,4,2,1,0,1,0,0,4,2,4
481,0,100,195,Woman,69.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,1,1,0,0,0,0,0,-1,0.25,0,873,18,Woman,2.045,4,1,3,2,2,2,1,0,3,2.45,3,2,1,3
506,0,100,181,Woman,93.04,0,0,0,1,2,0,4,4,4,3,5,1,2,1,1,1,1,2,1,0,1,4,1.5,1,1.25,1.666666667,906,22,Woman,2,4,3,1,4,1,3,0,0,4,0,5,0,4,4
519,0,100,42,Woman,16.024,1,2,1,0,1,0,1,0,1,0,1,-1,-1,-1,-2,-2,-1,-2,-2,1.333333333,0.333333333,0.6,-1,-1.5,-1.75,0.755555555,849,19,Woman,1.95,4,4,2,2.5,2,3,1,0,1,0,5,0,2,3
545,0,100,84,Woman,35.49,0,0,0,0,0,0,0,0,0,0,0,-2,0,-2,-2,1,1,0,-2,0,0,0,-1,-2,0,0,544,19,Woman,1.974,4,5,0,0.5,4,3,0,0,1,2.24,5,1,1,0
551,0,100,173,Woman,65.509,1,0,3,5,2,5,5,5,3,2,5,0,0,1,1,2,1,2,1,1.333333333,4,4,0,1,1.5,3.111111111,329,19,Woman,2,5,5,0,0,5,5,0,0,0,0,5,0,0,0
566,0,100,159,Another,76.003,1,3,3,5,5,5,3,0,0,3,3,0,0,2,0,1,1,-2,0,2.333333333,5,1.8,0,1,0,3.044444444,475,18,Non-binary,2,5,4,2,3,3,2,0,0,1,0,5,0,2,4
569,0,100,791,Woman,655.894,3,3,5,3,4,5,3,0,0,2,4,0,0,2,2,2,2,2,2,3.666666667,4,1.8,0,2,2,3.155555556,321,48,Woman,2,4,3,3,2,2,2,0,0,1,3,3,3,1,3
624,0,100,246,Woman,15.395,2,1,3,2,3,1,3,1,3,2,2,0,-1,0,-1,2,-1,0,-1,2,2,2.2,-0.5,-0.5,0,2.066666667,713,18,Woman,1.991,2,4,1,1.5,3,2,4,0,1,1.41,2,1,0,3
631,0,100,123,Woman,47.949,0,0,1,0,1,0,0,0,0,0,1,-1,0,-1,-1,0,1,1,-1,0.333333333,0.333333333,0.2,-0.5,-1,0.25,0.288888889,445,19,Woman,2.045,3,4,0,1,4,3,0,0,3,2.45,2,3,1,1
646,0,100,177,Woman,76.312,0,0,4,4,0,0,1,0,0,0,0,1,-2,2,-2,1,2,2,1,1.333333333,1.333333333,0.2,-0.5,0,1.5,0.955555555,101,18,Woman,1.95,4,3,0,2.5,4,2,2,0,2,0,0,1,0,5
652,0,100,236,Woman,168.449,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,1,0,0,0,0,0,-1,-1,0.25,0,669,19,Woman,1.95,4,5,2,0.5,1,4,0,0,3,0,5,0,0,1
43,0,100,92,Woman,46.84,2,1,1,0,0,0,2,0,0,0,1,1,1,1,-1,1,1,1,1,1.333333333,0,0.6,1,0,1,0.644444444,574,19,Woman,1.9,4,3,4,0,5,1,0,0,2,0,0,1,0,0
65,0,100,199,Woman,95.901,0,0,0,3,3,2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,2.666666667,0,-0.5,0,-0.25,0.888888889,500,20,Woman,1.9,3,4,0,0,4,5,0,0,3,0,0,4,0,0
96,0,100,167,Woman,80.82,0,0,0,2,0,1,1,0,0,0,0,0,0,1,0,-1,0,1,0,0,1,0.2,0,0.5,0,0.4,532,20,Woman,1.85,3,4,1,1.5,5,2,0,0,2,0,0,1,1,2
97,0,100,212,Woman,106.205,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,2,2,0,0.333333333,0,0,0.5,1.75,0.111111111,788,21,Woman,1.9,4,2,1,0,4,4,0,0,4,0,5,0,0,0
99,0,100,178,Woman,107.157,2,1,0,2,2,0,3,0,0,0,0,0,1,0,0,1,1,0,1,1,1.333333333,0.6,0.5,0,0.75,0.977777778,506,18,Woman,1.85,3,3,1,0.5,4,4,0,0,3,0,0,5,0,1
155,0,100,161,Woman,96.137,2,0,1,2,0,0,4,0,0,0,4,0,1,-1,-1,-1,-1,1,1,1,0.666666667,1.6,0.5,-1,0,1.088888889,884,18,Woman,1.85,2,2,4,4.5,1,4,0,0,1,0,5,0,5,4
164,0,100,136,Woman,61.101,0,0,0,2,0,1,0,0,0,0,0,1,0,2,2,2,2,2,1,0,1,0,0.5,2,1.75,0.333333333,723,18,Woman,1.9,4,4,0,3,3,1,0,0,4,0,0,0,3,3
200,0,100,192,Man,127.795,0,0,0,2,2,1,0,0,0,0,0,-2,-2,-2,-2,0,-1,-2,-2,0,1.666666667,0,-2,-2,-1.25,0.555555556,868,18,Man,1.9,4,4,2,3,4,1,0,0,1,0,0,0,4,2
205,0,100,116,Woman,54.186,0,2,1,3,0,0,0,0,0,0,0,1,1,-1,0,2,2,1,1,1,1,0,1,-0.5,1.5,0.666666667,225,18,Woman,1.9,5,2,2,0,4,2,1,0,1,2,1,4,0,0
220,0,100,366,Woman,172.519,0,2,0,1,0,3,3,0,0,0,0,1,0,-1,0,-2,-1,-1,-1,0.666666667,1.333333333,0.6,0.5,-0.5,-1.25,0.866666667,901,18,Woman,1.85,5,3,4,0.5,5,0,0,0,1,0,5,0,1,0
