,Progress,Duration (in seconds),Finished,Q3,Q49,Q4,Q5,Q6,Q14_Page Submit,Flow questionnaire 1_1,Flow questionnaire 1_2,Flow questionnaire 1_3,Flow questionnaire 1_4,Flow questionnaire 1_5,Flow questionnaire 1_6,Flow questionnaire 1_7,Flow questionnaire 1_8,Flow questionnaire 1_9,Flow questionnaire 1_10,Flow questionnaire 2_1,Flow questionnaire 2_2,Flow questionnaire 2_3,Flow questionnaire 2_4,Flow questionnaire 2_5,Flow questionnaire 2_6,Flow questionnaire 2_7,Flow questionnaire 2_8,Flow questionnaire 2_9,Flow questionnaire 2_10,Flow questionnaire 3_1,Flow questionnaire 3_2,Flow questionnaire 3_3,Flow questionnaire 3_4,Flow questionnaire 3_5,Flow questionnaire 3_6,Flow questionnaire 3_7,Flow questionnaire 3_8,Flow questionnaire 3_9,Flow questionnaire 3_10,Flow_vacuuming,Flow_essay_writing,Flow_exercise,Flow_combined,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
432,100,159,1,1,1,1,18,Woman,117.7,3,4,3,3,3,3,4,1,4,3,4,4,4,4,4,4,5,5,5,4,3,3,3,3,2,3,3,2,3,2,3.1,4.3,2.7,3.366666667,173,18,Woman,0.9,3,2,0,0,3,1,0,0,0,0,0,2,0,0
162,100,133,1,1,1,1,18,Woman,106.682,2,1,3,3,4,4,4,0,3,2,4,4,5,5,1,4,4,1,5,5,4,1,2,2,0,0,1,0,2,1,2.6,3.8,1.3,2.566666667,174,18,Woman,0.25,2,0,0,0.5,0,0,0,0,0,0,0,0,1,0
473,100,213,1,1,1,1,18,Woman,156.635,2,1,3,3,4,1,3,1,2,1,5,4,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,5,5,5,2.1,4.8,4.7,3.866666667,175,18,Woman,1.55,5,3,2,1.5,2,1,1,0,0,0,1,0,2,1
428,100,173,1,1,1,1,21,Woman,138.375,1,1,5,5,5,2,2,5,4,5,5,2,5,5,5,3,4,0,1,5,5,5,5,5,3,5,5,5,5,5,3.5,3.5,4.8,3.933333333,176,21,Woman,1.6,4,3,0,0,4,2,0,0,3,0,5,0,0,0
603,100,50,1,1,1,1,18,Woman,35.92,5,4,3,4,2,3,4,2,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.7,4.9,5,4.533333333,178,18,Woman,2,4,5,0,1,5,2,0,0,3,0,5,0,2,0
573,100,89,1,1,1,1,19,Woman,73.107,1,1,2,1,2,1,2,1,1,1,0,1,1,2,1,3,1,2,1,2,2,1,1,2,1,2,2,1,1,1,1.3,1.4,1.4,1.366666667,180,19,Woman,1.8,5,3,1,2,4,3,0,0,0,0,4,0,2,2
429,100,182,1,1,1,1,18,Woman,139.544,4,4,2,5,3,3,5,5,5,4,5,3,5,5,5,5,5,5,5,5,4,3,4,5,5,5,5,3,4,3,4,4.8,4.1,4.3,183,18,Woman,1.8,4,2,0,0,1,4,0,5,2,0,5,0,0,0
443,100,184,1,1,1,1,18,Woman,136.287,2,0,1,4,3,1,4,1,4,1,5,5,5,5,4,4,5,5,5,5,3,2,1,1,1,3,3,1,1,0,2.1,4.8,1.6,2.833333333,184,18,Woman,0.6,4,0,0,0,1,0,0,0,0,1,1,1,0,0
269,100,238,1,1,1,1,18,Woman,217.655,0,0,0,1,0,0,1,0,0,0,0,1,2,2,1,1,2,0,0,2,2,1,1,3,3,3,3,1,0,3,0.2,1.1,2,1.1,185,18,Woman,1.7,4,4,0,0,1,1,0,3,4,0,5,0,0,0
166,100,161,1,1,1,1,19,Woman,109.33,4,4,5,5,5,5,4,2,4,4,5,4,5,5,5,5,5,2,5,4,5,4,5,5,3,5,5,4,4,4,4.2,4.5,4.4,4.366666667,186,19,Woman,1.75,4,4,1,2.5,3,3,0,0,0,0,4,0,1,4
97,100,2191,1,1,1,1,18,Woman,93.242,2,0,3,4,5,0,4,4,4,4,0,0,0,0,0,1,0,0,0,0,4,2,4,4,3,4,4,4,4,3,3,0.1,3.6,2.233333333,187,18,Woman,1.55,4,1,0,3.5,3,4,0,0,0,0,5,0,4,3
291,100,179,1,1,1,1,18,Woman,127.193,1,0,0,3,2,1,4,1,2,3,3,2,2,3,1,2,3,1,2,2,3,4,4,4,2,3,3,3,3,3,1.7,2.1,3.2,2.333333333,188,18,Woman,1.2,2,5,1,3,0,0,0,0,1,0,0,1,2,4
406,100,180,1,1,1,1,19,Woman,160.445,4,2,4,4,3,4,3,1,3,2,4,5,5,4,3,4,4,2,4,5,5,3,4,5,4,3,4,2,3,3,3,4,3.6,3.533333333,189,19,Woman,2.623606798,3,5,2,2,5,4,0,0,3,2.236067977,5,1,2,2
476,100,194,1,1,1,1,19,Woman,130.637,0,0,1,2,3,1,3,0,3,1,3,5,2,5,3,4,5,3,5,5,4,5,5,5,4,4,4,3,4,4,1.4,4,4.2,3.2,190,19,Woman,2.35,5,4,3,1.5,3,3,1,0,3,0,4,0,2,1
519,100,127,1,1,1,1,18,Woman,102.117,0,0,0,0,0,0,2,0,0,0,1,2,2,2,1,1,2,0,0,0,4,1,4,5,5,5,4,1,5,4,0.2,1.1,3.8,1.7,193,18,Woman,1.682842713,2,1,3,3,3,0,0,0,2,2.828427125,4,2,3,3
310,100,173,1,1,1,1,24,Woman,155.761,4,2,4,4,4,3,5,1,3,3,5,5,4,5,5,5,5,4,5,3,2,2,3,4,4,4,4,2,2,2,3.3,4.6,2.9,3.6,195,24,Woman,1.55,2,4,3,1.5,1,3,0,0,1,0,5,0,2,1
520,100,155,1,1,1,1,19,Woman,132.728,4,3,5,5,5,4,4,3,4,5,5,4,1,3,2,2,3,2,3,2,3,3,3,2,3,3,2,3,4,4,4.2,2.7,3,3.3,196,19,Woman,1.6,5,4,1,1,5,0,0,0,0,0,5,0,1,1
207,100,168,1,1,1,1,18,Woman,142.734,0,0,3,4,3,2,4,0,3,1,5,4,4,5,4,5,5,3,5,5,4,2,3,4,4,3,4,1,4,4,2,4.5,3.3,3.266666667,197,18,Woman,1.85,4,2,3,2.5,1,3,0,0,2,1,1,1,2,3
133,100,213,1,1,1,1,19,Man,180.18,4,3,5,5,5,2,5,2,2,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,3,5,5,3.8,0,4.8,2.866666667,198,18,Man,2.15,4,1,3,4.5,5,4,0,0,0,0,4,0,4,5
522,100,114,1,1,1,1,18,Woman,88.992,4,4,4,3,4,2,1,0,1,4,4,4,4,4,4,3,4,4,4,4,0,0,0,1,0,0,1,0,1,1,2.7,3.9,0.4,2.333333333,200,18,Woman,1.05,3,4,0,0.5,1,1,0,0,1,0,5,0,1,0
543,100,115,1,1,1,1,19,Man,90.164,0,1,2,5,3,3,2,0,2,1,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,1.9,5,4.7,3.866666667,203,18,Man,1.55,3,4,4,1.5,1,1,1,0,0,0,0,2,0,3
216,100,160,1,1,1,1,18,Woman,129.687,3,0,3,2,3,2,2,1,1,2,4,3,4,4,3,4,4,2,3,4,2,1,2,3,2,3,2,2,3,3,1.9,3.5,2.3,2.566666667,204,18,Woman,2.45,4,5,2,1.5,4,4,2,0,2,0,0,1,1,2
518,100,96,1,1,1,1,19,Woman,69.031,0,0,2,1,0,0,0,0,0,0,2,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.9,0,0.4,209,19,Woman,0.9,2,4,0,1,2,0,0,0,0,0,5,0,1,1
365,100,127,1,1,1,1,20,Man,90.197,1,2,4,4,4,4,4,1,4,4,4,4,5,4,4,4,4,2,4,4,4,4,3,4,3,4,4,5,5,4,3.2,3.9,4,3.7,213,20,Man,1.4,5,4,0,0,1,4,0,0,0,0,0,0,0,0
276,100,152,1,1,1,1,20,Woman,98.385,4,1,4,4,3,3,4,2,3,3,5,1,2,3,2,3,2,1,3,2,5,4,4,4,4,4,4,4,4,4,3.1,2.4,4.1,3.2,215,20,Woman,1.5,4,4,0,0,3,0,0,0,4,0,5,0,0,0
504,100,139,1,1,1,1,18,Woman,106.702,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,2.8,3,3.8,3.2,219,18,Woman,2.7,4,3,2,3,3,4,0,5,3,0,0,4,3,3
281,100,247,1,1,1,1,18,Woman,145.279,2,2,4,4,4,3,4,1,2,3,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,2.9,3.6,4,3.5,220,18,Woman,1,1,3,0,1,4,1,0,0,0,0,5,0,2,0
352,100,132,1,1,1,1,18,Woman,99.7,1,1,1,0,0,0,0,0,0,0,4,4,5,5,5,5,4,3,3,5,2,2,3,3,3,3,2,2,2,2,0.3,4.3,2.4,2.333333333,222,18,Woman,2.766227766,5,5,2,2.5,2,1,4,0,3,3.16227766,5,2,0,5
87,100,202,1,1,1,1,19,Man,169.346,1,1,4,0,5,4,3,0,1,2,5,4,5,4,4,5,5,1,3,5,5,4,5,5,3,5,5,4,5,5,2.1,4.1,4.6,3.6,224,18,Man,1.7,5,2,0,3,3,3,0,0,1,0,5,0,2,4
99,100,130,1,1,1,1,18,Woman,108.991,4,4,5,4,5,4,4,0,1,3,4,2,2,4,3,4,2,1,2,2,1,0,0,0,1,0,0,0,1,0,3.4,2.6,0.3,2.1,225,18,Woman,1.9,5,2,2,0,4,2,1,0,1,2,1,4,0,0
96,100,105,1,1,1,1,18,Woman,83.946,3,3,4,4,4,2,5,2,1,3,5,5,5,5,5,5,4,5,4,4,5,4,4,4,3,3,2,3,4,4,3.1,4.7,3.6,3.8,226,18,Woman,1.2,3,2,0,3,2,2,0,0,0,0,0,5,2,4
624,100,128,1,1,1,1,19,Woman,99.951,1,1,2,3,4,1,2,0,2,1,4,3,4,5,2,3,4,1,2,3,4,4,5,5,5,5,5,3,4,2,1.7,3.1,4.2,3,227,19,Woman,2.346410162,4,5,1,2,2,3,0,0,3,3.464101615,4,3,1,3
72,100,235,1,1,1,1,18,Woman,203.989,3,2,3,4,3,2,4,0,1,2,3,0,3,2,4,1,3,0,2,4,4,3,5,5,4,5,5,3,3,5,2.4,2.2,4.2,2.933333333,232,18,Woman,1,1,2,4,0,1,2,0,0,0,0,5,0,0,0
194,100,123,1,1,1,1,20,Man,98.196,2,1,1,1,1,1,2,0,3,0,4,3,4,4,3,4,5,1,5,5,5,5,5,5,5,5,5,2,5,5,1.2,3.8,4.7,3.233333333,233,20,Man,0.65,2,1,0,1.5,1,1,0,0,0,0,1,0,0,3
313,100,336,1,1,1,1,18,Woman,232.8,5,1,5,5,4,2,5,1,2,3,3,2,2,4,2,2,4,1,2,3,5,5,5,5,5,5,5,5,5,5,3.3,2.5,5,3.6,237,18,Woman,2.95,5,4,3,2.5,3,4,1,1,3,3,3,3,2,3
178,100,258,1,1,1,1,18,Woman,224.428,2,1,3,3,3,3,4,1,4,2,4,2,3,4,4,3,4,1,2,4,4,2,3,4,4,4,3,2,4,3,2.6,3.1,3.3,3,238,18,Woman,1.8,4,3,1,0,3,3,0,0,4,0,3,0,0,0
283,100,127,1,1,1,1,18,Woman,94.512,1,1,2,3,3,1,2,0,2,2,3,2,4,4,3,3,4,2,4,4,4,2,4,4,4,4,4,3,4,4,1.7,3.3,3.7,2.9,239,18,Woman,1.95,5,3,0,1.5,4,0,0,0,4,2,4,1,1,2
134,100,179,1,1,1,1,19,Man,146.862,4,4,3,3,4,3,4,2,3,3,5,4,4,5,5,5,5,3,4,4,5,5,5,5,5,5,5,3,5,4,3.3,4.4,4.7,4.133333333,240,19,Man,1.5,1,3,1,3,2,4,0,0,1,0,4,0,2,4
399,100,161,1,1,1,1,18,Woman,127.324,2,1,3,4,3,3,4,4,4,2,4,4,4,4,3,4,4,3,3,4,4,2,3,3,3,4,5,3,4,4,3,3.7,3.5,3.4,244,18,Woman,1.6,3,4,1,2,4,2,0,0,0,0,4,0,3,1
666,100,212,1,1,1,1,18,Man,151.084,0,1,0,0,0,1,0,2,0,1,5,4,5,5,4,5,4,3,3,5,4,3,5,4,5,5,4,5,5,3,0.5,4.3,4.3,3.033333333,245,18,Man,1.95,4,5,3,0.5,3,2,0,0,2,0,1,0,1,0
402,100,104,1,1,1,1,18,Woman,73.401,3,3,4,4,4,3,4,1,3,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,3,3,4,5,3.3,5,4.1,4.133333333,248,18,Woman,2.773205081,3,3,4,5,5,2,0,0,4,1.732050808,3,1,5,5
403,100,105,1,1,1,1,18,Other,86.655,1,0,0,1,1,1,0,0,0,0,3,2,3,4,2,3,4,0,3,3,2,0,1,2,2,3,3,0,1,1,0.4,2.7,1.5,1.533333333,254,18,Non-binary,1.8,3,2,4,1,2,2,2,0,2,0,0,5,1,1
151,100,138,1,1,1,1,19,Man,120.86,5,4,5,4,4,5,5,1,5,4,4,3,5,5,5,4,5,2,3,4,4,4,4,4,4,4,4,1,4,2,4.2,4,3.5,3.9,255,19,Man,2.65,5,4,3,1.5,5,5,0,0,3,0,5,0,1,2
388,100,138,1,1,1,1,18,Woman,102.8,1,1,3,3,3,3,1,1,3,3,4,3,4,4,4,4,3,1,3,4,2,2,2,1,2,2,2,0,3,2,2.2,3.4,1.8,2.466666667,256,18,Woman,1.8,5,4,0,0,1,3,0,0,3,2,2,2,0,0
600,100,165,1,1,1,1,18,Woman,145.457,3,2,3,3,2,2,4,0,3,1,3,3,4,3,2,3,4,1,3,2,3,2,3,3,3,4,3,1,3,3,2.3,2.8,2.8,2.633333333,260,18,Woman,1.944948974,4,4,1,0,4,2,0,0,2,2.449489743,3,2,0,0
640,100,126,1,1,1,1,19,Woman,91.154,0,0,3,4,4,4,3,2,3,4,2,3,3,4,4,3,3,1,3,4,3,1,2,4,5,4,4,2,3,3,2.7,3,3.1,2.933333333,261,18,Woman,2.1,3,2,4,4,1,0,3,3,1,0,0,0,3,5
558,100,198,1,1,1,1,20,Woman,148.002,3,4,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,5,5,5,5,5,5,5,4.4,4.8,4.8,4.666666667,262,20,Woman,2.15,4,2,0,2.5,3,5,5,0,0,0,5,0,3,2
568,100,443,1,1,1,1,18,Woman,324.264,2,2,4,4,4,4,4,2,4,2,4,3,4,4,3,4,4,2,3,4,3,3,4,4,3,3,4,4,4,3,3.2,3.5,3.5,3.4,263,18,Woman,1.723606798,3,4,1,2,3,1,0,0,1,2.236067977,5,1,1,3
433,100,126,1,1,1,1,19,Woman,102.669,1,1,1,1,3,2,5,0,1,3,4,2,4,4,4,4,4,0,2,3,2,1,1,4,1,2,1,1,1,3,1.8,3.1,1.7,2.2,265,19,Woman,2.266227766,4,5,1,1.5,3,3,0,0,2,3.16227766,5,2,2,1
627,100,147,1,1,1,1,18,Woman,101.331,3,1,2,3,3,2,2,1,3,2,4,4,3,4,3,3,4,2,3,3,2,2,1,1,2,1,1,0,2,1,2.2,3.3,1.3,2.266666667,266,18,Woman,1.7,3,5,2,0,4,3,0,0,0,0,5,0,0,0
102,100,114,1,1,1,1,20,Woman,94.283,1,1,3,3,3,3,4,2,2,1,4,4,4,4,3,4,4,4,3,4,5,5,5,5,5,5,5,5,5,5,2.3,3.8,5,3.7,267,20,Woman,0.1,0,0,1,0,0,0,0,0,0,0,5,0,0,0
240,100,160,1,1,1,1,18,Woman,131.474,2,0,2,3,2,2,2,1,2,3,3,2,2,3,2,3,3,2,2,4,4,3,3,3,3,3,4,2,3,4,1.9,2.6,3.2,2.566666667,268,18,Woman,0.7,1,2,0,0,2,1,0,0,0,1,1,1,0,0
121,100,281,1,1,1,1,18,Woman,205.805,4,2,3,3,2,4,4,1,2,3,4,2,3,3,3,5,4,2,3,3,3,2,4,5,2,3,4,1,3,2,2.8,3.2,2.9,2.966666667,271,18,Woman,1.65,4,4,0,3.5,3,2,0,0,0,0,0,0,2,5
488,100,121,1,1,1,1,18,Woman,84.691,2,1,3,3,3,3,3,0,2,2,2,2,3,3,2,2,3,2,3,2,3,2,3,3,2,3,3,1,2,2,2.2,2.4,2.4,2.333333333,272,18,Woman,2.287298335,5,2,0,2,4,3,0,0,3,3.872983346,5,3,1,3
373,100,48,1,1,1,1,21,Man,31.396,4,4,4,3,5,4,3,4,4,4,4,5,5,5,4,5,4,5,4,2,4,4,4,5,3,5,4,5,4,4,3.9,4.3,4.2,4.133333333,273,20,Man,1.75,4,0,3,1.5,1,3,5,0,0,0,0,3,0,3
670,100,119,1,1,1,1,18,Woman,90.149,1,1,1,3,3,2,2,0,3,2,3,2,3,3,2,3,2,0,3,1,3,2,2,2,2,2,2,0,2,2,1.8,2.2,1.9,1.966666667,274,18,Woman,2.15,4,4,1,1.5,3,3,0,0,3,2,2,2,2,1
651,100,187,1,1,1,1,18,Woman,146.557,5,0,5,5,5,4,5,1,5,3,5,5,5,5,5,5,5,0,5,5,5,5,5,5,4,5,5,3,5,5,3.8,4.5,4.7,4.333333333,275,18,Woman,1.9,2,3,0,2,4,5,0,0,3,0,0,4,1,3
82,100,192,1,1,1,1,18,Woman,154.116,5,1,2,2,2,3,4,1,3,2,4,3,4,4,4,4,4,1,4,2,4,3,3,3,4,4,4,1,4,1,2.5,3.4,3.1,3,276,18,Woman,1.791421356,3,2,2,3.5,2,2,1,0,1,1.414213562,2,1,4,3
590,100,279,1,1,1,1,18,Man,235.368,3,0,2,3,2,2,2,1,1,1,1,3,0,2,2,2,2,0,1,2,3,2,3,4,4,3,2,0,1,4,1.7,1.5,2.6,1.933333333,279,18,Man,0.6,0,0,0,1,1,1,0,0,3,0,5,0,0,2
454,100,265,1,1,1,1,20,Woman,151.144,5,1,5,5,5,5,5,2,3,4,3,3,2,5,5,3,3,5,4,4,5,5,5,5,5,5,5,5,5,5,4,3.7,5,4.233333333,280,19,Woman,1.632842713,1,3,0,0.5,5,4,0,0,0,2.828427125,4,2,1,0
478,100,124,1,1,1,1,19,Woman,83.057,2,2,3,4,4,3,3,1,3,2,4,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2.7,4.4,5,4.033333333,285,19,Woman,2.65,4,4,3,2.5,3,3,3,2,2,0,0,5,3,2
622,100,139,1,1,1,1,19,Woman,98.076,0,0,0,0,0,0,1,0,0,0,2,1,3,3,3,3,3,1,3,4,1,0,0,2,2,2,2,1,2,1,0.1,2.6,1.3,1.333333333,287,19,Woman,0.4,1,1,0,0,1,0,0,0,1,0,5,0,0,0
175,100,122,1,1,1,1,18,Woman,100.023,4,1,4,5,1,1,2,0,3,4,3,0,1,2,0,1,2,0,1,3,4,1,0,3,0,3,0,0,1,2,2.5,1.3,1.4,1.733333333,288,18,Woman,1.4,4,5,1,0,2,1,1,0,0,0,0,5,0,0
247,100,119,1,1,1,1,18,Woman,98.834,1,1,1,1,2,2,2,0,0,0,3,0,3,3,3,3,1,0,0,3,3,3,3,3,3,3,3,3,3,3,1,1.9,3,1.966666667,291,18,Woman,1.891421356,3,2,0,2.5,5,4,0,0,1,1.414213562,1,2,4,1
596,100,211,1,1,1,1,18,Woman,186.169,4,4,3,4,4,4,4,5,3,4,2,3,2,1,1,2,2,1,2,1,5,5,5,5,5,5,5,5,5,5,3.9,1.7,5,3.533333333,292,18,Woman,2.3,5,4,3,1,5,4,0,0,1,0,5,0,1,1
456,100,113,1,1,1,1,19,Other,95.547,4,0,3,4,4,2,4,4,4,4,5,5,5,5,2,5,5,5,5,2,3,4,5,5,5,5,5,2,5,4,3.3,4.4,4.3,4,295,19,Non-binary,1.45,4,5,0,2.5,1,2,0,0,0,0,5,0,1,4
650,100,109,1,1,1,1,18,Woman,89.4,4,3,4,5,5,5,5,1,4,4,3,1,3,3,1,2,2,2,2,3,1,0,2,1,2,1,1,1,1,2,4,2.2,1.2,2.466666667,297,18,Woman,1.1,4,3,0,0,3,0,0,0,1,0,0,0,0,0
466,100,123,1,1,1,1,19,Man,99.59,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,2,5,5,3,1,1,0,0,0,0,0,0,0,4.5,4.7,0.5,3.233333333,298,19,Man,1.05,3,1,0,1.5,1,3,1,0,0,0,0,5,2,1
416,100,170,1,1,1,1,18,Woman,151.701,4,5,2,5,4,3,4,4,4,5,3,1,4,4,2,3,4,5,3,1,5,3,4,5,4,4,3,5,2,3,4,3,3.8,3.6,301,18,Woman,1.75,5,4,1,1.5,3,2,0,0,1,0,0,0,1,2
449,100,104,1,1,1,1,18,Man,63.829,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.8,5,5,4.933333333,302,18,Man,0.673205081,1,1,2,0,0,0,0,0,1,1.732050808,3,1,0,0
241,100,172,1,1,1,1,18,Woman,144.008,2,0,2,0,4,2,1,0,0,1,5,5,5,5,5,5,5,3,5,5,4,4,5,5,5,5,5,2,5,5,1.2,4.8,4.5,3.5,303,18,Woman,1.65,5,2,0,0.5,5,3,0,0,1,0,5,0,0,1
81,100,128,1,1,1,1,18,Woman,93.439,2,2,3,2,3,2,2,1,1,3,4,4,4,4,5,5,4,2,1,4,4,3,4,4,4,3,4,1,3,3,2.1,3.7,3.3,3.033333333,307,18,Woman,2.45,4,5,3,1.5,4,3,0,0,4,0,5,0,2,1
536,100,136,1,1,1,1,18,Woman,116.601,3,0,3,3,3,3,3,3,4,3,2,2,3,3,2,3,3,2,3,3,4,3,4,4,4,4,4,3,4,4,2.8,2.6,3.8,3.066666667,310,18,Woman,2.3,4,4,3,2,4,3,0,0,3,0,0,3,1,3
395,100,146,1,1,1,1,18,Woman,124.362,3,2,3,2,1,2,2,3,1,2,1,1,1,1,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,2.1,0.8,0.1,1,311,18,Woman,2.45,4,2,4,3.5,4,5,0,0,2,0,0,0,4,3
587,100,268,1,1,1,1,18,Man,102.513,5,0,2,1,0,0,0,0,3,1,4,4,5,5,5,4,5,3,5,4,5,5,5,5,5,5,5,5,5,5,1.2,4.4,5,3.533333333,312,18,Man,2.05,4,3,3,1.5,3,0,0,0,4,2,2,2,1,2
100,100,150,1,1,1,1,19,Man,94.451,4,0,4,4,3,2,2,1,0,4,5,5,5,5,4,4,5,3,3,5,5,5,5,5,5,5,4,4,4,4,2.4,4.4,4.6,3.8,313,19,Man,2.2,5,3,1,4,5,4,0,0,0,0,0,2,3,5
337,100,1601,1,1,1,1,18,Woman,1191.148,1,1,2,5,2,0,2,0,3,2,3,2,0,3,3,1,3,1,2,2,2,2,3,3,2,2,2,0,0,1,1.8,2,1.7,1.833333333,317,18,Woman,2.7,5,3,1,3,5,3,0,5,2,0,0,5,2,4
98,100,333,1,1,1,1,20,Woman,313.941,1,0,1,0,3,1,0,1,0,1,3,3,4,4,5,2,2,4,4,4,5,4,4,4,3,5,5,5,5,4,0.8,3.5,4.4,2.9,318,20,Woman,2.337298335,0,4,3,4.5,4,3,0,0,1,3.872983346,3,5,5,4
541,100,263,1,1,1,1,48,Woman,198.473,4,2,4,3,4,4,4,3,3,4,4,2,3,2,1,1,1,0,1,1,5,4,4,5,5,5,4,3,4,3,3.5,1.6,4.2,3.1,321,48,Woman,2,4,3,3,2,2,2,0,0,1,3,3,3,1,3
482,100,309,1,1,1,1,38,Woman,257.178,4,1,1,2,4,2,3,0,0,1,2,1,3,2,1,2,1,0,0,2,3,4,1,5,5,4,3,0,4,3,1.8,1.4,3.2,2.133333333,322,38,Woman,0.9,2,0,0,5,1,0,0,0,1,0,0,3,5,5
598,100,222,1,1,1,1,18,Woman,160.068,3,2,1,1,4,3,2,0,4,3,4,1,2,2,2,2,3,0,2,3,4,4,4,4,4,4,4,0,4,4,2.3,2.1,3.6,2.666666667,323,18,Woman,1.8,4,3,0,0,4,2,0,0,5,0,0,3,0,0
296,100,106,1,1,1,1,19,Woman,83.654,2,0,2,2,1,0,2,0,0,2,3,2,4,3,1,2,4,2,5,4,1,1,1,1,2,3,2,0,2,1,1.1,3,1.4,1.833333333,325,19,Woman,2.794948974,5,5,1,1.5,5,3,0,3,2,2.449489743,2,3,1,2
287,100,104,1,1,1,1,18,Woman,83.756,4,3,3,4,4,4,4,1,4,3,3,2,3,4,4,4,2,4,4,4,3,3,2,3,3,3,2,3,3,3,3.4,3.4,2.8,3.2,326,18,Woman,2.25,5,3,4,2.5,3,0,0,0,3,2,4,1,2,3
282,100,144,1,1,1,1,19,Woman,111.331,3,1,3,5,5,4,3,0,3,2,4,1,4,5,3,4,5,2,5,5,3,0,3,3,0,2,2,0,2,5,2.9,3.8,2,2.9,327,19,Woman,1.7,5,4,0,0,5,3,0,0,0,0,5,0,0,0
458,100,120,1,1,1,1,19,Woman,96.62,0,0,5,5,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,2.7,2.2,5,3.3,328,19,Woman,1.3,4,2,0,2,3,2,0,0,0,0,5,0,3,1
562,100,281,1,1,1,1,18,Woman,252.594,2,2,3,4,4,3,4,2,2,3,3,2,3,4,2,3,4,1,3,3,3,2,3,2,2,2,2,3,2,3,2.9,2.8,2.4,2.7,330,18,Woman,1.65,3,3,1,1.5,3,4,0,0,1,0,0,0,2,1
95,100,146,1,1,1,1,20,Woman,114.973,1,1,3,3,1,1,2,0,3,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1.7,4,1,2.233333333,332,20,Woman,1.8,4,3,2,2,3,3,1,0,0,0,0,4,1,3
564,100,224,1,1,1,1,18,Woman,172.167,3,1,4,4,4,2,4,1,4,3,3,1,3,3,1,2,3,0,3,1,4,1,2,5,3,4,5,1,5,3,3,2,3.3,2.766666667,333,18,Woman,2.2,5,5,1,2,4,5,0,0,0,0,5,0,2,2
553,100,161,1,1,1,1,18,Woman,123.594,4,2,5,5,3,2,5,2,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.1,5,5,4.366666667,335,18,Woman,1.3,5,5,0,0,1,2,0,0,0,0,0,1,0,0
234,100,182,1,1,1,1,19,Woman,127.669,5,5,5,5,5,3,5,4,5,5,2,2,2,2,4,3,2,1,2,2,4,4,5,5,5,5,4,3,5,5,4.7,2.2,4.5,3.8,337,19,Woman,1.85,5,3,1,1.5,4,2,0,0,2,0,0,5,1,2
75,100,235,1,1,1,1,18,Woman,173.914,2,2,4,4,5,5,5,0,2,4,4,3,4,5,5,4,4,5,3,4,3,1,4,1,5,5,4,2,3,3,3.3,4.1,3.1,3.5,338,18,Woman,1.8,5,4,0,2,3,4,0,0,0,0,0,2,3,1
414,100,202,1,1,1,1,20,Woman,154.045,2,2,3,3,1,0,1,0,3,3,2,4,4,3,2,2,4,1,2,3,4,3,4,5,4,4,4,4,4,4,1.8,2.7,4,2.833333333,339,20,Woman,1.3,3,4,0,0,3,2,0,0,1,0,2,0,0,0
285,100,285,1,1,1,1,18,Woman,227.679,2,1,4,2,3,2,3,0,4,4,4,4,3,4,4,4,4,1,3,3,4,4,4,4,4,4,4,2,4,3,2.5,3.4,3.7,3.2,343,18,Woman,0.95,3,2,0,0.5,1,3,0,0,0,0,0,5,1,0
347,100,155,1,1,1,1,19,Man,120.769,2,1,4,2,4,2,4,0,3,4,2,1,3,2,3,4,2,0,2,4,5,3,5,5,3,5,5,4,5,5,2.6,2.3,4.5,3.133333333,345,19,Man,1.7,2,3,0,0,4,5,0,0,3,0,5,0,0,0
