ParticpantNo.,No. Resp,vEARscore,VidRating1,VidRating2,VidRating3,VidRating4,VidRating5,VidRating6,VidRating7,VidRating8,VidRating9,VidRating10,VidRating11,VidRating12,VidRating13,VidRating14,VidRating15,VidRating16,VidInPos1,VidInPos2,VidInPos3,VidInPos4,VidInPos5,VidInPos6,VidInPos7,VidInPos8,VidInPos9,VidInPos10,VidInPos11,VidInPos12,VidInPos13,VidInPos14,VidInPos15,VidInPos16
2145276,16,0.5,0,1,1,0,2,1,0,0,0,1,0,0,0,0,0,2,7,13,10,6,2,12,4,14,16,15,1,5,11,3,8,9
2145277,16,0.9375,0,3,3,0,0,0,0,2,0,3,0,0,4,0,0,0,12,16,14,6,8,7,10,1,2,9,15,5,3,11,13,4
2145279,16,1,3,3,1,0,2,0,0,1,0,3,0,2,1,0,0,0,13,1,16,3,11,7,4,9,2,10,8,12,14,6,15,5
2145280,16,0.4375,0,1,1,0,2,0,0,1,0,0,1,0,1,0,0,0,14,5,6,10,2,13,12,4,7,8,9,1,3,11,16,15
2145281,16,1.0625,0,2,2,3,2,1,1,1,1,1,0,1,0,1,1,0,12,9,4,5,16,11,13,3,8,1,7,6,10,2,15,14
2145282,16,3.25,4,4,4,1,4,4,5,1,4,3,1,0,5,4,4,4,2,9,15,11,13,10,1,5,6,16,7,14,4,3,12,8
2145285,16,1,0,1,0,3,0,1,3,2,0,2,1,2,1,0,0,0,9,6,12,10,7,2,3,15,8,4,5,11,16,1,14,13
2145289,16,1.25,0,2,0,0,0,1,2,0,3,1,4,0,2,1,4,0,2,12,7,11,3,9,15,10,1,16,5,8,6,14,4,13
2145292,16,0.625,2,0,0,2,1,1,0,2,0,0,0,2,0,0,0,0,15,5,13,1,2,4,9,3,7,16,14,10,11,12,8,6
2145298,16,3.125,3,4,5,3,3,4,2,4,2,3,1,3,4,4,2,3,10,11,6,2,13,3,12,9,7,4,5,16,1,15,8,14
2145299,16,3,3,3,3,1,4,4,2,2,4,4,4,2,4,1,5,2,10,13,7,12,3,15,2,8,1,5,6,4,14,11,9,16
2145311,16,0.375,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,16,13,10,4,11,14,2,15,1,8,6,3,9,12,5,7
2145320,16,1,0,1,1,0,0,0,2,1,3,0,1,2,2,1,1,1,7,8,9,5,15,14,10,6,3,13,11,1,4,2,16,12
2145340,16,3.8125,3,4,4,4,4,4,3,3,3,4,5,4,5,4,4,3,12,8,4,11,5,16,7,9,13,3,1,15,6,10,2,14
2145438,16,3,4,5,2,1,4,2,2,4,4,4,3,2,3,2,2,4,8,10,15,7,14,12,2,3,9,4,13,6,1,11,5,16
2145493,16,0.625,1,0,1,2,0,1,0,2,0,1,0,0,2,0,0,0,13,6,11,1,12,4,9,5,7,16,8,15,3,14,2,10
2146176,16,0.3125,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,9,10,14,6,15,7,4,16,2,3,1,5,8,13,11,12
2146178,16,0.625,1,0,0,0,0,0,3,0,0,0,3,0,0,3,0,0,4,10,15,6,5,8,14,2,9,7,3,1,12,16,13,11
2146182,16,3.625,5,5,5,4,0,4,3,5,5,3,0,1,5,5,3,5,11,2,12,1,13,4,5,10,6,16,15,8,9,14,7,3
2146183,16,1.75,2,3,2,0,2,4,3,0,3,0,2,0,0,1,2,4,1,9,7,14,4,2,10,8,16,11,12,13,6,5,3,15
2146184,16,2.6875,3,4,2,3,2,4,3,2,4,2,3,4,3,2,0,2,6,2,4,10,14,5,1,9,15,7,13,3,11,8,12,16
2146187,16,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,10,13,6,1,11,3,9,8,12,15,16,7,4,5,14,2
2146189,16,0.8125,0,0,1,0,0,1,3,3,1,0,0,0,1,3,0,0,11,15,6,9,8,12,3,10,4,14,5,16,1,13,2,7
2146190,16,1.8125,1,2,0,3,2,3,2,3,4,0,2,4,1,1,1,0,1,11,8,15,13,6,16,14,12,7,3,2,4,9,5,10
2146192,16,3,3,4,4,4,4,2,4,4,4,5,4,2,1,1,1,1,7,16,6,11,1,13,15,5,12,10,14,3,9,8,4,2
2146194,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,1,10,4,8,5,3,16,7,6,11,2,12,14,13
2146195,16,0.9375,0,0,0,1,0,1,1,0,2,0,0,3,3,0,2,2,5,12,11,9,1,3,6,4,13,8,7,10,15,16,2,14
2146196,16,1.3125,1,2,0,2,0,2,1,3,0,0,1,1,3,0,2,3,9,4,2,3,1,13,14,12,11,8,7,10,15,5,16,6
2146197,16,0.8125,2,0,1,0,0,3,2,1,0,3,0,1,0,0,0,0,12,10,1,8,11,15,6,9,16,5,3,13,2,14,7,4
2146198,16,1.875,4,4,2,3,0,1,4,4,0,0,2,0,5,0,1,0,6,10,2,14,11,7,1,9,8,12,16,5,3,15,13,4
2146200,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,5,10,1,3,14,15,13,8,9,2,4,11,16,7
2146201,16,0.25,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,6,8,15,11,7,2,13,10,1,14,5,9,12,3,4,16
2146202,16,0.3125,1,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,3,4,12,15,10,2,13,16,7,14,9,8,5,11,6,1
2146204,16,0.125,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,16,12,11,9,8,6,14,10,1,3,15,13,5,7
2146205,16,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,11,15,6,13,3,5,10,2,4,7,8,9,12,16
2146206,16,0.6875,0,0,0,0,1,3,3,0,3,0,0,0,0,0,1,0,5,16,7,9,8,13,15,11,6,14,4,10,1,2,3,12
2146207,16,0.6875,1,0,0,2,0,3,1,1,1,1,1,0,0,0,0,0,7,15,16,8,14,2,9,3,13,6,12,11,1,4,5,10
2146209,16,1.75,0,1,0,3,1,3,1,0,3,0,4,3,1,3,1,4,2,16,15,13,9,3,8,12,7,11,5,6,1,4,14,10
2146210,16,0.625,0,0,0,0,2,1,3,0,2,0,2,0,0,0,0,0,13,12,7,14,6,15,3,9,10,5,16,11,1,8,4,2
2146211,16,3.375,3,3,4,3,4,2,3,4,4,3,4,3,4,4,3,3,10,8,11,2,14,5,7,12,6,4,3,16,15,13,9,1
2146217,16,0.4375,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0,13,2,10,9,6,12,4,3,1,8,11,14,15,5,16,7
2146219,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,6,15,13,14,12,5,2,8,4,7,10,16,11
2146220,16,0.25,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,16,11,8,14,1,5,15,10,4,12,2,6,13,7,9
2146222,16,0.375,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,7,3,14,15,11,8,6,1,9,12,10,5,16,4,13,2
2146223,16,1.625,0,1,2,1,3,2,1,2,3,2,3,2,1,1,1,1,1,13,5,8,2,3,16,4,10,11,15,6,7,12,9,14
2146224,16,1.375,2,2,2,3,1,2,0,3,0,1,0,1,2,0,0,3,13,11,9,14,4,1,8,15,10,3,12,16,2,7,6,5
2146225,16,0.5,0,0,2,0,1,2,0,0,1,1,0,0,0,0,0,1,7,8,16,10,14,6,3,2,13,1,15,11,4,5,12,9
2146228,16,2.125,2,4,0,3,3,5,3,2,1,1,0,0,3,2,0,5,1,14,12,8,16,7,15,6,4,13,10,9,11,2,5,3
2146229,16,0.0625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,13,11,1,2,16,12,7,8,10,4,5,14,3,15,6
2146231,16,0.625,0,0,0,0,1,3,0,0,0,0,0,0,3,2,1,0,16,4,2,13,15,14,11,12,9,5,7,10,8,3,1,6
2146235,16,2.125,3,3,3,4,3,3,2,1,2,2,0,1,3,1,2,1,15,3,5,14,13,1,12,9,10,11,4,6,8,7,16,2
2146237,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,13,9,3,16,1,2,8,11,5,12,14,15,4,6,7
2146239,16,0.375,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,12,9,5,1,3,15,6,10,4,2,16,7,8,11,14,13
2146243,16,0.375,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,5,13,1,4,14,15,7,2,12,6,8,9,10,11,16,3
2146245,16,1.3125,1,0,2,0,0,1,1,2,3,2,0,1,2,2,2,2,15,6,13,14,5,4,2,8,1,7,11,10,16,3,12,9
2146246,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,9,13,1,7,6,4,15,11,8,2,10,3,16,12
2146247,16,0.75,0,1,0,1,0,0,2,0,2,0,3,1,0,1,1,0,15,9,2,6,7,16,11,13,1,14,10,3,8,12,4,5
2146252,16,0.4375,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,5,2,8,9,6,4,15,11,7,14,3,10,1,16,12,13
2146259,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,10,13,7,11,15,2,8,6,5,14,1,3,9,12
2146276,16,0.0625,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,2,5,3,8,16,11,13,14,6,9,15,4,1,7
2146318,16,1.6875,1,2,1,1,2,1,2,2,3,1,1,1,2,2,2,3,2,1,8,10,9,13,4,7,11,6,12,5,14,15,3,16
2146333,16,1,2,2,0,2,0,0,1,3,0,2,1,0,2,0,0,1,8,15,2,1,5,9,12,3,14,10,4,13,7,6,16,11
2149743,16,0.75,4,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,12,9,11,15,14,8,2,7,3,6,13,4,1,10,16,5
2151118,16,0.4375,0,1,0,0,1,2,1,0,0,1,0,0,0,1,0,0,2,10,7,13,5,1,4,9,8,16,6,12,14,11,15,3
2155748,16,1.4375,1,0,3,4,0,3,1,0,3,0,0,3,1,4,0,0,9,13,8,4,7,2,11,14,6,12,15,3,10,1,5,16
2155749,16,1,1,1,0,2,0,2,2,1,2,2,0,0,0,0,2,1,15,2,14,3,7,1,8,12,6,9,10,13,5,11,4,16
2155751,16,1.0625,2,1,0,1,2,2,2,1,0,1,0,2,0,1,2,0,14,2,13,16,4,9,1,11,5,6,15,10,7,3,8,12
2155754,16,0.8125,1,2,1,2,0,0,0,0,1,0,1,1,0,1,1,2,8,15,10,5,4,1,3,7,14,6,9,16,11,2,13,12
2155760,16,0.625,0,0,0,1,1,0,0,3,1,0,4,0,0,0,0,0,1,11,6,7,12,13,5,3,14,16,9,2,15,8,4,10
2155761,16,0.25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,13,5,11,12,7,3,16,2,4,1,9,6,8,10,14,15
2155762,16,0.25,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,4,9,1,15,6,13,5,16,12,3,7,10,14,2,11,8
2155763,16,1.25,1,2,1,1,3,1,1,0,2,1,1,2,0,0,2,2,15,7,2,14,3,8,10,9,4,11,5,1,16,13,12,6
2155766,16,1.5,2,3,2,2,1,2,2,2,2,1,1,2,0,1,0,1,12,15,11,10,8,4,14,1,3,9,2,6,7,16,5,13
2155767,16,0.375,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,8,2,10,1,4,11,16,7,12,13,14,5,3,15,6,9
2155768,16,2.875,4,2,3,4,3,2,3,4,3,3,2,3,2,3,2,3,4,13,14,1,9,12,5,3,16,15,6,10,11,8,7,2
2155771,16,0.6875,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1,7,3,6,4,9,8,13,2,10,12,14,15,5,11,16
2155772,16,0.375,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,8,5,12,2,9,1,3,10,14,4,7,15,16,13,11,6
2155777,16,0.25,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,15,14,7,16,10,3,5,12,8,6,1,13,2,11,9,4
2155778,16,1.6875,0,1,1,2,2,1,3,2,1,1,2,3,3,2,1,2,9,2,3,14,11,5,4,13,15,8,7,16,1,12,6,10
2155780,16,1.8125,0,1,3,1,1,2,3,3,3,1,1,2,1,3,3,1,13,3,16,11,7,8,15,9,6,1,10,2,5,4,12,14
2155781,16,1.6875,0,2,1,1,1,1,1,3,3,3,2,1,3,3,0,2,6,1,8,16,15,7,12,2,14,3,13,11,10,4,5,9
2155782,16,2,3,4,1,1,5,0,1,2,0,0,3,5,0,4,2,1,8,13,7,16,15,4,5,12,14,9,10,1,2,3,6,11
2155783,16,0.375,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,2,16,14,10,7,11,4,8,9,5,1,3,15,13,12
2155784,16,0.25,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,16,9,6,12,5,7,14,13,10,1,11,2,15,3,8
2155786,16,1.875,1,3,2,1,1,1,2,1,1,2,2,2,3,3,3,2,9,15,8,12,1,3,4,7,6,2,16,10,11,14,13,5
2155787,16,0.75,0,2,0,0,1,0,0,0,2,0,2,3,0,0,2,0,14,10,11,15,7,9,3,8,1,5,13,16,12,6,4,2
2155788,16,0.4375,1,0,1,0,1,0,1,0,0,0,2,1,0,0,0,0,10,12,4,2,15,11,13,1,14,8,16,9,3,6,7,5
2155789,16,2,2,4,1,3,1,1,4,3,0,2,3,1,1,3,3,0,5,16,14,2,10,7,4,9,12,13,6,8,11,3,1,15
2155793,16,0.75,1,1,0,1,2,0,0,0,1,1,2,0,2,0,1,0,16,10,5,8,14,13,12,1,3,6,15,11,7,2,4,9
2155798,16,0.875,0,1,2,0,1,1,2,2,0,0,1,2,0,0,0,2,5,4,13,12,14,16,8,3,10,6,1,9,11,7,15,2
2155802,16,0.25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,12,11,9,1,16,15,13,7,4,10,6,14,5,8,2
2155804,16,0.625,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,3,1,13,16,6,15,8,4,11,10,14,9,2,5,12,7
2155805,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,5,15,8,2,6,10,13,3,12,1,7,11,14,16
2155812,16,0.375,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,15,10,14,11,16,7,4,2,9,3,13,5,1,6,12,8
2155814,16,2.125,3,0,3,1,0,4,3,4,2,2,2,3,0,4,1,2,10,13,6,5,11,3,16,12,2,9,4,8,15,1,14,7
2155820,16,0.125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,15,4,14,1,5,8,13,16,11,12,7,9,2
2155824,16,0.4375,0,1,2,0,1,0,1,0,0,0,1,0,0,0,0,1,7,16,9,12,4,10,5,2,6,15,1,11,14,8,13,3
2155831,16,0.3125,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,7,13,16,5,14,1,6,15,10,2,8,4,12,9,11,3
2155832,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,15,2,16,8,14,12,5,10,1,7,9,11,4,3
2155855,16,0.9375,0,2,2,3,3,0,0,0,0,2,0,0,0,0,2,1,2,1,3,11,15,8,14,6,13,16,7,10,5,4,9,12
2155871,16,1.3125,1,1,2,2,2,1,1,1,3,1,1,1,1,1,1,1,6,11,14,3,8,7,16,9,15,2,1,12,5,10,4,13
2155955,16,0.5625,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,7,4,9,5,8,10,16,1,3,14,11,13,2,12,6,15
2156102,16,0.125,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,9,12,11,5,7,8,13,4,6,3,1,2,15,14,16
2156867,16,2.6875,3,0,4,3,2,1,1,0,4,5,4,2,4,4,3,3,8,16,13,6,14,7,11,4,1,2,9,5,12,3,15,10
2156870,16,0.4375,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,14,4,9,11,10,15,16,1,13,6,3,12,8,2,5,7
2156871,16,2.8125,1,2,4,3,3,4,3,3,2,3,4,3,2,1,4,3,3,11,13,6,12,4,15,16,2,1,9,8,5,7,14,10
2156872,16,1.0625,2,3,0,2,0,1,1,0,2,3,0,0,0,3,0,0,2,3,15,10,11,5,14,7,1,16,4,13,9,6,12,8
2156873,16,0.1875,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,3,10,8,15,5,13,7,6,16,4,9,1,12,2,11
2156874,16,1.5625,1,0,1,2,1,0,2,4,1,1,2,1,0,3,4,2,9,15,4,12,16,5,7,1,11,14,8,10,13,2,3,6
2156877,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,16,13,14,10,1,12,5,2,15,4,8,9,6,11
2156878,16,2.6875,4,3,3,2,4,4,2,1,4,4,4,3,1,1,2,1,12,15,8,7,10,4,1,16,14,3,5,9,2,13,11,6
2156879,16,1,1,1,0,3,0,2,1,2,0,3,1,1,0,1,0,0,7,4,9,3,13,6,5,11,16,2,14,8,12,10,15,1
2156880,16,0.3125,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,6,16,7,8,11,2,4,12,14,13,5,3,15,10,1,9
2156881,16,0.9375,1,0,2,0,3,0,1,0,0,3,0,0,3,0,0,2,1,2,3,11,12,5,8,10,16,4,13,7,14,6,9,15
2156882,16,0.125,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,16,7,12,15,13,10,8,2,3,11,9,1,4,14,6,5
2156883,16,0.625,1,1,1,0,0,2,0,0,2,0,0,2,1,0,0,0,16,6,1,7,8,11,15,10,4,2,12,14,9,3,5,13
2156884,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,11,1,8,15,6,7,14,4,10,9,12,3,2,16
2156885,16,0.1875,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,9,13,16,14,4,6,2,11,5,7,8,15,10,12,1,3
2156886,16,1.125,1,0,2,2,3,2,1,0,1,1,1,0,1,0,1,2,7,1,2,14,11,13,15,16,10,4,8,12,5,9,6,3
2156887,16,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,9,12,2,4,7,15,1,6,5,11,13,8,16,14,10,3
2156889,16,1.4375,2,2,1,2,2,1,2,1,2,1,1,2,1,1,1,1,5,3,7,15,9,4,8,16,10,14,6,13,11,12,1,2
2156891,16,1,2,1,0,0,0,2,0,2,0,0,3,0,2,0,3,1,6,1,8,5,3,15,2,7,16,4,14,10,9,11,12,13
2156892,16,0.1875,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,14,7,16,10,1,6,4,8,2,5,9,11,12,3,15,13
2156893,16,1.6875,3,2,3,1,1,2,0,1,0,2,2,2,0,2,3,3,7,16,14,1,12,10,8,2,15,3,11,13,6,9,5,4
2156894,16,0.375,0,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,16,5,7,8,15,6,11,1,2,13,3,9,10,4,12,14
2156895,16,2.3125,3,0,4,3,0,1,3,5,1,0,3,5,4,0,1,4,4,11,10,3,5,15,7,1,13,8,2,16,9,12,6,14
2156896,16,1.0625,1,0,0,0,1,1,0,1,2,3,2,1,4,0,0,1,13,6,2,10,16,12,1,15,4,3,14,11,9,8,5,7
2156898,16,2.1875,1,3,3,2,4,2,2,4,3,2,2,2,3,1,0,1,9,12,4,5,11,2,7,14,15,1,13,8,3,10,16,6
2156899,16,1.5625,3,3,1,4,3,1,2,0,0,3,2,0,0,0,0,3,2,9,15,3,10,12,13,7,11,4,1,6,14,5,8,16
2156900,16,0.1875,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9,11,1,2,4,7,5,10,3,8,14,13,16,6,12,15
2156901,16,0.4375,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,9,12,11,8,10,15,3,1,4,13,6,14,2,7,5,16
2156902,16,0.25,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,4,3,9,15,11,7,16,10,6,8,14,13,12,5,2
2156905,16,0.3125,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,10,5,9,11,16,15,14,2,3,1,4,8,12,6,13,7
2156908,16,2.75,1,4,1,4,4,1,1,4,4,4,4,4,1,3,1,3,3,1,9,6,12,16,5,8,4,2,14,15,11,13,10,7
2156910,16,1.375,4,2,1,0,3,2,0,2,0,4,0,0,0,0,4,0,9,11,4,5,10,8,3,7,6,15,14,16,12,2,1,13
2156911,16,0.9375,1,1,0,0,4,0,0,3,0,0,0,2,0,3,1,0,9,7,13,11,4,5,14,10,6,16,12,3,2,1,8,15
2156938,16,1.0625,1,0,1,1,2,3,3,0,0,2,0,0,2,1,0,1,7,10,16,8,6,14,9,11,2,3,15,5,4,13,12,1
2156947,16,1.25,0,4,4,3,5,0,3,0,0,0,0,0,0,0,0,1,4,12,2,9,1,8,3,6,11,14,13,5,15,7,16,10
2157024,16,0.25,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,11,16,1,6,5,10,4,2,15,14,3,7,8,13,9,12
2157047,16,0.3125,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,13,5,8,14,1,11,12,6,7,2,10,4,3,9,15,16
2157071,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,4,16,3,8,14,10,2,7,11,6,9,5,15,1
2157151,16,0.3125,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,13,14,12,6,10,2,4,5,9,8,15,7,1,16,11,3
2157877,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,13,15,1,14,3,11,7,8,5,4,16,10,12
2158170,16,2,1,2,2,3,0,1,0,4,1,3,2,4,2,1,2,4,14,7,4,3,1,2,8,6,12,5,13,9,15,16,11,10
2158171,16,3.0625,4,4,4,4,2,4,4,4,2,3,2,4,4,3,0,1,14,4,3,2,11,12,15,13,10,7,5,9,6,16,8,1
2158172,16,0.125,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,11,16,15,14,6,8,7,4,10,2,13,12,5,1,3
2158174,16,1.125,0,1,3,0,0,1,0,1,3,2,3,0,2,0,1,1,9,1,6,13,14,10,15,12,7,2,3,11,8,16,5,4
2158175,16,0.9375,0,3,1,0,0,0,0,4,0,0,3,0,0,2,0,2,14,8,11,15,16,10,9,3,13,5,6,12,1,7,4,2
2158176,16,1.4375,1,0,2,2,0,0,1,3,3,0,0,0,0,4,3,4,3,4,9,6,16,8,1,15,12,5,7,11,13,2,10,14
2158177,16,1.5,1,2,2,2,1,1,2,1,2,2,1,2,1,1,2,1,11,16,6,9,13,10,2,8,1,4,3,12,5,15,7,14
2158178,16,3.5,3,2,4,3,3,4,5,3,5,3,3,4,3,4,4,3,14,12,10,4,11,9,3,5,6,16,13,1,7,15,2,8
2158179,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,16,1,15,6,4,14,13,8,10,12,11,9,3
2158181,16,0.75,5,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,7,1,9,12,5,13,6,2,15,3,4,14,10,16,11,8
2158183,16,2.4375,3,2,2,3,2,4,2,4,1,3,2,4,3,2,1,1,1,15,11,12,14,13,16,9,8,6,7,3,5,2,4,10
2158184,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,4,2,9,1,16,15,5,6,3,11,14,13,8,7
2158185,16,0.125,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,14,12,7,9,10,5,8,16,13,3,4,1,11,15,6
2158186,16,0.6875,1,3,2,0,0,0,0,2,0,2,0,0,1,0,0,0,15,8,6,16,12,13,7,9,11,2,14,10,3,4,5,1
2158187,16,1.625,2,0,3,0,4,1,0,1,1,0,3,0,3,2,3,3,14,3,6,16,5,8,9,7,2,15,10,12,13,11,1,4
2158189,16,0.375,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,16,13,10,12,3,9,11,2,5,1,15,8,6,4,7,14
2158191,16,0.375,1,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,7,12,3,1,15,13,14,16,5,10,6,2,4,11,9,8
2158192,16,0.4375,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,9,13,3,15,1,2,14,11,5,7,4,6,8,10,16,12
2158193,16,1.875,1,0,2,3,3,0,2,2,4,3,2,0,0,3,4,1,7,13,10,11,4,16,15,2,3,14,5,8,6,1,9,12
2158194,16,0.5,0,0,1,0,0,0,0,2,2,1,0,0,0,1,0,1,13,11,9,4,8,5,7,14,1,10,12,15,16,6,3,2
2158196,16,2,2,4,1,3,4,3,4,0,3,0,0,0,2,2,2,2,3,13,4,14,12,16,8,11,1,10,15,5,2,6,9,7
2158198,16,1.6875,2,0,3,1,3,2,2,1,2,1,1,2,2,3,2,0,14,13,6,7,1,12,5,10,15,8,16,2,3,4,9,11
2158200,16,2.6875,1,3,0,0,3,0,5,5,3,4,2,2,3,4,4,4,14,16,2,5,11,12,8,6,10,4,7,13,3,9,1,15
2158204,16,0.6875,0,1,0,0,0,0,2,1,2,0,2,0,0,0,1,2,8,13,15,5,4,7,3,12,14,6,1,9,16,11,10,2
2158205,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,9,12,13,4,5,2,1,10,8,6,7,3,16,15,14
2158206,16,0.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,4,8,9,5,10,14,12,6,1,7,15,2,3,16,11
2158207,16,0.1875,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,13,9,3,6,14,4,16,11,1,8,10,5,12,7,15,2
2158208,16,2.75,2,3,5,0,3,0,3,0,4,5,4,3,3,3,1,5,10,15,3,14,16,8,13,4,11,1,5,2,12,9,7,6
2158210,16,0.6875,0,1,1,2,0,1,0,0,1,0,2,0,3,0,0,0,14,9,6,4,10,16,5,7,15,11,3,8,13,1,2,12
2158211,16,0.4375,0,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,13,9,12,1,4,10,6,16,15,5,3,2,11,8,7,14
2158212,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,13,7,3,16,5,15,8,11,2,9,10,12,6,1
2158215,16,0.3125,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,4,16,7,13,15,6,12,9,1,14,3,11,10,8,5
2158222,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,4,3,2,14,5,12,6,13,1,8,15,10,11,9
2158228,16,0.5625,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,1,15,10,7,9,8,5,4,14,13,2,12,1,11,3,16,6
2158235,16,1.625,3,3,1,3,0,1,0,3,4,2,4,0,1,0,1,0,5,13,7,2,3,4,14,8,12,9,10,1,15,6,11,16
2158236,16,3,0,4,4,4,4,5,3,0,5,4,1,4,3,2,5,0,1,2,16,5,10,13,15,7,6,14,8,11,3,9,4,12
2158243,16,2,3,2,3,4,1,3,0,3,0,2,3,1,2,0,2,3,3,16,6,15,9,5,7,14,4,10,8,12,11,13,2,1
2158246,16,2.375,4,3,3,4,4,3,1,3,3,0,3,0,2,0,4,1,15,11,13,10,6,8,7,12,2,1,5,3,4,16,14,9
2158250,16,0.4375,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,10,14,5,6,12,11,13,15,8,1,9,2,3,7,16,4
2158251,16,0.25,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,2,8,6,9,12,1,11,7,14,5,10,13,4,16,15,3
2158259,16,2.25,1,3,1,5,2,2,1,1,2,1,5,4,1,3,2,2,6,15,13,14,2,7,16,10,4,12,9,11,5,1,8,3
2158264,16,0.625,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,2,14,16,13,3,6,1,15,12,9,5,10,8,11,7,4
